Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"Thorncliffe school, Calgary, AB, Canada",6,5,5,51.102148,-114.066865
"Light of Christ school, Calgary, AB, Canada",5.9,6.9,6.9,51.129418,-113.942591
"Blessed Kateri Tekakwitha school, Calgary, AB, Canada",5.9,5.5,5.5,51.061849,-113.92757
"Calgary Academy school, Calgary, AB, Canada",5.9,n/a,5.9,51.039447,-114.223884
"Sacred Heart school, Calgary, AB, Canada",5.9,n/a,5.9,51.040959,-114.096791
"St. Andrew school, Calgary, AB, Canada",5.9,n/a,5.9,51.016575,-114.147717
"St. Patrick school, Calgary, AB, Canada",5.7,6.2,6.2,51.072028,-113.946819
"Stanley Jones school, Calgary, AB, Canada",5.7,5.7,5.7,51.059908,-114.048051
"de la Source school, Calgary, AB, Canada",5.6,5.7,5.7,50.969137,-114.061821
"Ranchlands school, Calgary, AB, Canada",5.6,5.6,5.6,51.118912,-114.179288
"Prince of Peace Lutheran school, Calgary, AB, Canada",5.6,5.4,5.4,51.063495,-113.891976
"St. Martha school, Calgary, AB, Canada",5.6,5,5,51.056378,-113.946111
"Deer Run school, Calgary, AB, Canada",5.6,4.6,4.6,50.921814,-114.009903
"Hawkwood school, Calgary, AB, Canada",5.5,6.6,6.6,51.130557,-114.178919
"St. Bede school, Calgary, AB, Canada",5.5,6.2,6.2,51.131712,-114.082848
"St. Henry school, Calgary, AB, Canada",5.5,5.6,5.6,51.117645,-114.080188
"Chinook Park school, Calgary, AB, Canada",5.4,6.1,6.1,50.986022,-114.090099
"Glendale school, Calgary, AB, Canada",5.4,5.7,5.7,51.032423,-114.1452
"Monterey Park school, Calgary, AB, Canada",5.3,5.4,5.4,51.077529,-113.930501
"Belvedere Parkway school, Calgary, AB, Canada",5.3,5.2,5.2,51.092988,-114.211493
"Foothills school, Calgary, AB, Canada",5.3,n/a,5.3,51.063963,-114.142054
"Calgary Islamic school, Calgary, AB, Canada",5.2,5.9,5.9,51.087651,-114.00046
"Alex Munro school, Calgary, AB, Canada",5.2,4.7,4.7,51.12068,-114.061322
"Chief Justice Milvain school, Calgary, AB, Canada",5.2,4.5,4.5,51.083921,-113.971901
"Monsignor Neville Anderson school, Calgary, AB, Canada",5.1,6.6,6.6,51.13943,-114.103847
"Cedarbrae school, Calgary, AB, Canada",5.1,4.9,4.9,50.958411,-114.133115
"St. Peter school, Calgary, AB, Canada",5.1,4.9,4.9,51.045973,-113.949396
"Blessed Damien school, Calgary, AB, Canada",5,5,5,51.021665,-113.991587
"Richmond school, Calgary, AB, Canada",5,4.6,4.6,51.030263,-114.114894
"Buchanan school, Calgary, AB, Canada",5,3.9,3.9,51.08557,-114.063485
"Haultain Memorial school, Calgary, AB, Canada",4.9,6,6,50.939724,-114.023407
"Holy Cross school, Calgary, AB, Canada",4.9,4.7,4.7,51.030036,-113.979746
"Crossing Park school, Calgary, AB, Canada",4.8,5.4,5.4,51.115719,-113.966584
"Ethel M. Johnson school, Calgary, AB, Canada",4.8,5.4,5.4,50.955452,-114.089047
"Belfast school, Calgary, AB, Canada",4.7,5.2,5.2,51.063123,-114.018402
"Douglas Harkness school, Calgary, AB, Canada",4.7,4.1,4.1,51.073927,-113.946042
"Ascension of Our Lord school, Calgary, AB, Canada",4.6,6.8,6.8,51.146895,-114.060474
"John Paul II school, Calgary, AB, Canada",4.6,4.7,4.7,51.107698,-113.956176
"Huntington Hills school, Calgary, AB, Canada",4.5,5.3,5.3,51.112177,-114.077623
"Grant MacEwan school, Calgary, AB, Canada",4.5,4.6,4.6,51.106217,-113.942651
"St. Cyril school, Calgary, AB, Canada",4.5,3.9,3.9,50.955516,-114.12866
"Rundle school, Calgary, AB, Canada",4.3,4.1,4.1,51.071166,-113.973804
"Guy Weadick school, Calgary, AB, Canada",4.3,3.9,3.9,51.086948,-113.953006
"St. Rupert school, Calgary, AB, Canada",4.2,5.6,5.6,51.076723,-113.970184
"Braeside school, Calgary, AB, Canada",4.2,5.4,5.4,50.956653,-114.101652
"John XXIII school, Calgary, AB, Canada",4.2,3.8,3.8,51.10119,-113.939108
"Catherine Nichols Gunn school, Calgary, AB, Canada",4.1,4.7,4.7,51.111764,-114.057841
"Pineridge school, Calgary, AB, Canada",4.1,4.4,4.4,51.070224,-113.944869
"St. Michael school, Calgary, AB, Canada",3.9,6.4,6.4,51.044807,-114.151468
"St. Stephen school, Calgary, AB, Canada",3.8,5.7,5.7,50.955658,-114.083861
"Terrace Road school, Calgary, AB, Canada",3.5,n/a,3.5,51.074368,-114.15734
"Rosscarrock school, Calgary, AB, Canada",3.4,4.5,4.5,51.04121,-114.145206
"Falconridge school, Calgary, AB, Canada",3.3,4.3,4.3,51.099314,-113.94547
"Glenbrook school, Calgary, AB, Canada",3.2,4.6,4.6,51.023569,-114.154953
"St. Mark school, Calgary, AB, Canada",3.2,4.6,4.6,51.063231,-113.969322
"O. S. Geiger school, Calgary, AB, Canada",3.2,3.5,3.5,51.104863,-113.961595
"?cole La Mosa?que school, Calgary, AB, Canada",2.7,n/a,2.7,51.113917,-113.957642
"Colonel J. Fred Scott school, Calgary, AB, Canada",2.5,3.7,3.7,51.087827,-113.967829
"St. Rita school, Calgary, AB, Canada",2,5.4,5.4,51.12001,-114.181944
"Cecil Swanson school, Calgary, AB, Canada",2,3.6,3.6,51.073962,-113.967602
"Vista Heights school, Calgary, AB, Canada",1.3,3.6,3.6,51.073874,-114.017143
